app_id,model_name,dataset,instance_id,row_idx,calculation_mode,decision_boundary,n_selected_features,prob_correct,pred_time,reward,decision_noise,memory_recall_threshold,opportunity_cost
mushrooms,mlp,mushrooms/mlp,198,9,retrieve,1.0,6,0.4348298255958005,18.958573195080234,0.260877586749485,0.4749545512629093,1.445221404889332,0.008542427596204456
mushrooms,mlp,mushrooms/mlp,198,9,read,1.0,6,0.2407444991600487,17.502342403037893,0.07923200641811838,0.4749545512629093,1.445221404889332,0.008542427596204456
mushrooms,mlp,mushrooms/mlp,245,10,retrieve,1.0,6,0.5879735099460411,22.779152694013252,0.5459571906946178,0.3348090218771406,1.4398520815055385,0.0013177100858238733
mushrooms,mlp,mushrooms/mlp,245,10,read,1.0,6,0.9999663979120003,15.23193587154114,0.967895122387448,0.3348090218771406,1.4398520815055385,0.0013177100858238733
mushrooms,mlp,mushrooms/mlp,218,11,retrieve,1.0,6,0.5141503856696742,19.386860367174794,0.24284601959220875,0.42753679252918686,1.0512625091606367,0.013375263511801593
mushrooms,mlp,mushrooms/mlp,218,11,read,1.0,6,0.9657371340983513,16.552527753647997,0.7323427136069001,0.42753679252918686,1.0512625091606367,0.013375263511801593
mushrooms,mlp,mushrooms/mlp,149,12,retrieve,1.0,6,0.7207347576551549,20.209897858093722,0.4296254441874652,0.3199420475484723,0.2981009138700159,0.013810525685359225
mushrooms,mlp,mushrooms/mlp,149,12,read,1.0,6,0.9998657303532589,15.690905945750375,0.7711660707629175,0.3199420475484723,0.2981009138700159,0.013810525685359225
mushrooms,mlp,mushrooms/mlp,10,13,retrieve,1.0,6,0.5002971930783809,19.090847965210287,0.48643059384214743,0.3820127591217548,1.2053412336842468,9.777455876423424e-05
mushrooms,mlp,mushrooms/mlp,10,13,read,1.0,6,0.9958755768821794,15.977228465920073,0.9823134104186487,0.3820127591217548,1.2053412336842468,9.777455876423424e-05
mushrooms,mlp,mushrooms/mlp,289,14,retrieve,1.0,6,0.8733665049075912,19.7839797845744,0.5687769041777603,0.3402721145093415,-0.0948525504532064,0.014789218545298124
mushrooms,mlp,mushrooms/mlp,289,14,read,1.0,6,0.98711764412859,17.3784520556317,0.7181039186988674,0.3402721145093415,-0.0948525504532064,0.014789218545298124
mushrooms,mlp,mushrooms/mlp,136,15,retrieve,1.0,6,0.6984750216301803,20.032628295365576,0.45908649320393563,0.4226923164280084,-0.035758490140794685,0.011350908381744873
mushrooms,mlp,mushrooms/mlp,136,15,read,1.0,6,0.8537797777951743,17.988569961782098,0.6375931682403778,0.4226923164280084,-0.035758490140794685,0.011350908381744873
mushrooms,mlp,mushrooms/mlp,177,16,retrieve,1.0,6,0.6203271451677717,20.287415508049612,0.5390236911954415,0.4354259810869882,-0.10760675620679272,0.0034160809662932222
